"","ID_MUJ","FAC_MUJ","EDAD","tipo_violencia","value"
"1","0100002.03.01.04",187,17,"fue_violentada_emoc",TRUE
"2","0100022.04.01.02",100,42,"fue_violentada_emoc",TRUE
"3","0100022.05.01.01",100,47,"fue_violentada_emoc",TRUE
"4","0100035.03.02.02",80,44,"fue_violentada_emoc",TRUE
"5","0100041.01.01.03",203,28,"fue_violentada_emoc",TRUE
"6","0100047.04.01.01",97,68,"fue_violentada_emoc",TRUE
"7","0100062.05.01.05",274,17,"fue_violentada_emoc",TRUE
"8","0100068.02.01.05",373,23,"fue_violentada_emoc",TRUE
"9","0100068.04.01.01",75,22,"fue_violentada_emoc",TRUE
"10","0100085.04.01.06",181,18,"fue_violentada_emoc",TRUE
"11","0100097.03.01.02",82,42,"fue_violentada_emoc",TRUE
"12","0100116.04.01.01",74,52,"fue_violentada_emoc",TRUE
"13","0100141.05.01.04",505,16,"fue_violentada_emoc",TRUE
"14","0100143.01.01.02",80,33,"fue_violentada_emoc",TRUE
"15","0100143.02.01.02",80,52,"fue_violentada_emoc",TRUE
"16","0100143.05.02.05",321,56,"fue_violentada_emoc",TRUE
"17","0100146.05.01.03",151,17,"fue_violentada_emoc",TRUE
"18","0100167.01.01.04",146,19,"fue_violentada_emoc",TRUE
"19","0100179.01.01.04",291,32,"fue_violentada_emoc",TRUE
"20","0100243.05.01.02",79,32,"fue_violentada_emoc",TRUE
"21","0100245.04.01.01",199,54,"fue_violentada_emoc",TRUE
"22","0100277.04.01.03",168,45,"fue_violentada_emoc",TRUE
"23","0100303.05.01.02",95,53,"fue_violentada_emoc",TRUE
"24","0100311.03.01.03",219,16,"fue_violentada_emoc",TRUE
"25","0100321.03.01.02",81,30,"fue_violentada_emoc",TRUE
"26","0100323.03.01.02",170,49,"fue_violentada_emoc",TRUE
"27","0100328.03.01.02",172,15,"fue_violentada_emoc",TRUE
"28","0100338.05.01.02",91,43,"fue_violentada_emoc",TRUE
"29","0100364.02.01.02",186,41,"fue_violentada_emoc",TRUE
"30","0100377.03.01.02",87,53,"fue_violentada_emoc",TRUE
"31","0100381.04.01.03",229,36,"fue_violentada_emoc",TRUE
"32","0100393.02.01.01",102,28,"fue_violentada_emoc",TRUE
"33","0100396.02.01.01",170,33,"fue_violentada_emoc",TRUE
"34","0100402.02.01.02",81,34,"fue_violentada_emoc",TRUE
"35","0100405.04.01.02",86,53,"fue_violentada_emoc",TRUE
"36","0100446.04.01.01",93,40,"fue_violentada_emoc",TRUE
"37","0100458.01.01.05",369,23,"fue_violentada_emoc",TRUE
"38","0100462.03.01.01",94,53,"fue_violentada_emoc",TRUE
"39","0100467.04.01.01",183,53,"fue_violentada_emoc",TRUE
"40","0100473.01.01.02",164,63,"fue_violentada_emoc",TRUE
"41","0100476.04.01.06",396,17,"fue_violentada_emoc",TRUE
"42","0100482.01.01.02",371,48,"fue_violentada_emoc",TRUE
"43","0100484.02.01.02",101,40,"fue_violentada_emoc",TRUE
"44","0100484.05.01.04",203,16,"fue_violentada_emoc",TRUE
"45","0100488.05.01.03",286,34,"fue_violentada_emoc",TRUE
"46","0100515.04.01.04",203,17,"fue_violentada_emoc",TRUE
"47","0100525.04.01.02",99,62,"fue_violentada_emoc",TRUE
"48","0100536.05.01.03",298,19,"fue_violentada_emoc",TRUE
"49","0100556.01.01.01",88,22,"fue_violentada_emoc",TRUE
"50","0100557.03.01.01",84,60,"fue_violentada_emoc",TRUE
